id,group_id,name,barcode
1,7,ABC AYAM BAWANG 65G,8992388111237
2,16,"ABC BATRE BESAR KUNING R 20S SIZE 1,5 V ISI 2",
3,16,"ABC BATRE SEDANG R14C SIZE 1,5 V ISI 2",
4,16,ABC BATRE SUPER POWER 9 VOLT,
5,16,"ABC BATRE SUPER POWER AAA 1,5 V ISI 2",
6,11,ABC CHOCO MALT COFFEE 200 ML (BTL),8991002122000
7,8,ABC KECAP MANIS 520 ML,7118441101378
8,8,ABC KECAP MANIS 60 ML,711844110182
9,8,ABC KECAP MANIS (BTL) 135 ML,711844110113
10,8,ABC KECAP MANIS (BTL) 275 ML,711844110083
11,11,ABC KOPI SUSU 200 ML (BTL),8991002122017
12,13,ABC KOPI SUSU 35G (BND),8991002101630
13,13,ABC KOPI SUSU 35G (RCG),
14,8,ABC SAMBAL ASLI (BTL) 135 ML,711844120037
15,8,ABC SAMBAL EXTRA PEDAS 176 G ISI 22'S,711844120341
16,8,ABC SAMBAL EXTRA PEDAS 18G,711844120365
17,8,ABC SAMBAL EXTRA PEDAS 380 G,711844120532
18,8,ABC SAMBAL EXTRA PEDAS (BTL) 135 ML,711844120082
19,8,ABC SAMBAL TERASI (BTL) 180 G,711844120396
20,8,ABC SAMBAL TERASI NUSANTARA 10'S,711844120402
21,8,ABC SARDEN CABAI 155G,711844330108
22,8,ABC SARDEN EXTRA PEDAS 425G,711844330153
23,11,ABC SARI KACANG HIJAU 200 ML (BOX),711844162402
24,8,ABC SAUCE MANIS PEDAS 135 ML (BTL),711844120105
25,8,ABC SAUS TOMAT (BTL) 135 ML,711844130111
26,7,ABC SELERA PEDAS GULAI AYAM 70G,8992388111206
27,8,ABC TERASI UDANG 84G,711844340008
28,11,ADEM SARI HERBAL LEMON 320 ML (KLG),8992772586016
29,11,ADEM SARI HERBAL LEMON 350 ML (BTL),8992772585026
30,2,AIR WICK FRESH WATERS 70 G,8993560069094
31,2,AIR WICK LAVENDER MEADOW 70 G,8993560069087
32,3,AKANO LIP CREAM MATTE NO 05,
33,11,ALE - ALE GRAPE CUP ,8998866500715
34,11,ALE - ALE GRAPE (KRT),18998866500712
35,11,ALE - ALE JERUK CUP,8998866500319
36,11,ALE - ALE JERUK (KRT),18998866500316
37,11,ALE - ALE MANGGA CUP,8998866203234
38,11,ALE - ALE MANGGA (KRT),18998866203231
39,11,ALE - ALE SIRSAK CUP,8998866500951
40,11,ALE - ALE SIRSAK (KRT),18998866500958
41,11,ALE - ALE STROBERI CUP,8998866500326
42,11,ALE - ALE STROBERI (KRT),18998866500323
43,9,ALPENLIEBE JERUK & MANGGA 6 G (RCG),8990800022895
44,9,ALPENLIEBE SUSU KARAMEL 6 G (RCG),8990800021362
45,8,AMANDA MARGARIN 200 G,8992628605151
46,13,ANGET SARI SUSU JAHE 25G (BND),8992933453119
47,13,ANGET SARI SUSU JAHE 25G (RCG),
48,12,ANLENE ACTIFIT COKELAT 250 G,9415007009801
49,12,ANLENE ACTIFIT ORIGINAL 250 G,9415007004455
50,12,ANLENE ACTIFIT VANILA 250 G,9415007008033
51,12,ANLENE GOLD COKELAT 250 G,9415007009818
52,12,ANLENE GOLD COKELAT 650 G,9415007018469
53,12,ANLENE GOLD ORIGINAL 250 G,9415007006824
54,12,ANLENE GOLD ORIGINAL 650 G,9415007009146
55,12,ANLENE GOLD VANILA 175 G,9415007050568
56,12,ANLENE GOLD VANILA 250 G,9415007008040
57,12,ANLENE GOLD VANILA 650 G,9415007026341
58,4,"ANTANGIN MADU MINT, BARLEY MINT, MOCHA MINT 2 G",
59,17,AOKA RASA KEJU 65 G,8997225840011
60,17,AOKA RASA NANAS 65 G,8997225840189
61,3,ASEPSO+ BW 80G,7640129890040
62,8,ATOM BULAN 7G,
63,8,ATOM BULAN 7G (BOX),8994357010053
64,2,AUTAN ALL NIGHT 50 ML,8998899400228
65,2,AUTAN CARE & PROTECT 50 ML,8998899004297
66,2,AUTAN FLORAL & PROTECT 50 ML,8998899004211
67,3,AZALEA ROSE WATER 75 ML,8992928063293
68,5,B&B SHP & CON (SCT) 10 ML,
69,5,B&B SHP & CON POWERPUFF GIRLS ORANGE 200 ML,8993417170232
70,5,BABY SHARK SNACK 30 G,8997231030239
71,2,"BAGUS KAPUR AJAIB 3,5 G",8886020033431
72,4,BALSEM LANG 20 G,8993176120028
73,4,BALSEM LANG 40 G,8993176120011
74,8,BANGO KECAP MANIS 210 ML,8999999012625
75,8,BANGO KECAP MANIS 520 ML,8999999100506
76,8,BANGO KECAP MANIS 60 ML,8999999514006
77,8,BANGO KECAP MANIS (BTL) 135 ML,8990121011073
78,8,BANGO KECAP MANIT (BTL) 275 ML,8999999002503
79,2,BAYCLEAN 100 ML,8998899013015
80,2,BAYGON BAKAR MAX HITAM 10 JAM 5'S,8998899995670
81,2,BAYGON LE LAVENDER 22 ML,8998899995519
82,2,BAYGON LE ORANGE BLOSSOM 22 ML,8998899995526
83,2,BAYGON LE SILKY JASMINE 22 ML,8998899994802
84,2,BAYGON LE ORIGINAL,8998899001401
85,2,BAYGON BAKAR MAX LAVENDER 10 JAM 5'S,8998899001623
86,2,BAYGON BAKAR MAX HIJAU 8 JAM ISI 5 PASANG,8998899001500
87,2,BAYGON BAKAR MAX HIJAU 10 JAM 5'S,8998899001579
88,2,BAYGON BAKAR MAX MERAH 10 JAM 5'S,8998899001920
89,2,BAYGON SPRAY CITRUS FRESH 200 ML,8998899400341
90,2,BAYGON SPRAY FLOWER GARDEN 450 ML,8998899995397
91,2,BAYGON SPRAY FLOWER GARDEN (KLG) 200 ML,8998899995113
92,2,BAYGON SPRAY ORANGE BLOSSOM 200 ML,8998899400327
93,2,BAYGON SPRAY SILKY LAVENDER 200 ML,8998899400358
