id,transaction_id,product_id,type,qty_unit,cost_unit,subtotal
1,1,1,buy,1,16389,16389
2,2,2,buy,2,16389,32778
3,3,3,buy,3,16389,49167
4,4,4,buy,1,16389,16389
5,5,5,buy,1,10920,10920
6,6,6,buy,1,10920,10920
7,7,7,buy,4,10920,43680
8,8,8,buy,1,16500,16500
9,9,9,buy,2,23450,46900
10,10,10,buy,1,10670,10670
11,11,11,buy,1,10670,10670
12,12,12,buy,2,20635,41270
13,13,13,buy,3,20635,61905
14,14,14,buy,1,3905,3905
15,15,15,buy,3,3905,11715
16,16,16,buy,2,3905,7810
17,17,17,buy,3,5500,16500
18,18,18,buy,1,5500,5500
19,19,19,buy,3,5500,16500
20,20,20,buy,2,9300,18600
21,21,21,buy,1,4800,4800
22,22,22,buy,1,18700,18700
23,23,23,buy,1,18700,18700
24,24,24,buy,2,15025,30050
25,25,25,buy,2,2257,4514
26,26,26,buy,10,4200,42000
27,27,27,buy,3,3211,9633
28,28,28,buy,3,15444,46332
29,29,29,buy,1,15444,15444
30,30,30,buy,6,375,2250
31,31,31,buy,8,390,3120
32,32,32,buy,6,770,4620
33,33,33,buy,1,4500,4500
34,34,34,buy,2,12000,24000
35,35,35,buy,1,11330,11330
36,36,36,buy,1,12500,12500
37,37,37,buy,1,3760,3760
38,38,38,buy,3,3760,11280
39,39,39,buy,5,3760,18800
40,40,40,buy,7,4500,31500
41,41,41,buy,2,4500,9000
42,42,42,buy,3,4500,13500
43,43,43,buy,2,4500,9000
44,44,44,buy,1,15031,15031
45,45,45,buy,1,15031,15031
46,46,46,buy,2,15031,30062
47,47,47,buy,2,16000,32000
48,48,48,buy,1,16000,16000
49,49,49,buy,2,5333,10666
50,50,50,buy,4,5333,21332
51,51,51,buy,2,6145,12290
52,52,52,buy,3,5333,15999
53,53,53,buy,12,9166,109992
54,54,54,buy,2,21230,42460
55,55,55,buy,1,18915,18915
56,56,56,buy,2,23280,46560
57,57,57,buy,1,13580,13580
58,58,58,buy,1,4000,4000
59,59,59,buy,6,4000,24000
60,60,60,buy,2,763,1526
61,61,61,buy,4,6500,26000
62,62,62,buy,2,10700,21400
63,63,63,buy,3,9500,28500
64,64,64,buy,9,5500,49500
65,65,65,buy,1,6000,6000
66,66,66,buy,2,25200,50400
67,67,67,buy,1,18000,18000
68,68,68,buy,3,18000,54000
69,69,69,buy,2,18000,36000
70,70,70,buy,1,13024,13024
71,71,71,buy,1,13024,13024
72,72,72,buy,1,7568,7568
73,73,73,buy,1,20585,20585
74,74,74,buy,1,18938,18938
75,75,75,buy,2,20595,41190
76,76,76,buy,1,14750,14750
77,77,77,buy,1,20185,20185
78,78,78,buy,3,17713,53139
79,79,79,buy,1,17713,17713
80,80,80,buy,1,17713,17713
81,81,81,buy,2,22605,45210
82,82,82,buy,3,6500,19500
83,83,83,buy,2,6500,13000
84,84,84,buy,1,10000,10000
85,85,85,buy,1,10000,10000
86,86,86,buy,2,9599,19198
87,87,87,buy,2,5586,11172
88,88,88,buy,1,8519,8519
89,89,89,buy,3,1829,5487
90,90,90,buy,4,1829,7316
91,91,91,buy,12,1829,21948
92,92,92,buy,2,3840,7680
93,93,93,buy,4,7920,31680
94,94,94,buy,1,10120,10120
95,95,95,buy,1,10120,10120
96,96,96,buy,2,28220,56440
97,97,97,buy,2,29665,59330
98,98,98,buy,1,27285,27285
99,99,99,buy,4,9200,36800
100,100,100,buy,1,12500,12500
101,101,101,buy,1,18370,18370
102,102,102,buy,1,16000,16000
103,103,103,buy,1,17650,17650
104,104,104,buy,2,20790,41580
105,105,105,buy,2,20790,41580
106,106,106,buy,1,20790,20790
107,107,107,buy,2,23000,46000
108,108,108,buy,1,44000,44000
109,109,109,buy,5,8816,44080
110,110,110,buy,1,10000,10000
111,111,111,buy,5,12271,61355
112,112,112,buy,1,15015,15015
