id,user_id,total_cost,payment_method
1,1,16389,cash
2,1,32778,cash
3,1,49167,cash
4,1,16389,cash
5,1,10920,cash
6,1,10920,cash
7,1,43680,cash
8,1,16500,cash
9,1,46900,cash
10,1,10670,cash
11,1,10670,cash
12,1,41270,cash
13,1,61905,cash
14,1,3905,cash
15,1,11715,cash
16,1,7810,cash
17,1,16500,cash
18,1,5500,cash
19,1,16500,cash
20,1,18600,cash
21,1,4800,cash
22,1,18700,cash
23,1,18700,cash
24,1,30050,cash
25,1,4514,cash
26,1,42000,cash
27,1,9633,cash
28,1,46332,cash
29,1,15444,cash
30,1,2250,cash
31,1,3120,cash
32,1,4620,cash
33,1,4500,cash
34,1,24000,cash
35,1,11330,cash
36,1,12500,cash
37,1,3760,cash
38,1,11280,cash
39,1,18800,cash
40,1,31500,cash
41,1,9000,cash
42,1,13500,cash
43,1,9000,cash
44,1,15031,cash
45,1,15031,cash
46,1,30062,cash
47,1,32000,cash
48,1,16000,cash
49,1,10666,cash
50,1,21332,cash
51,1,12290,cash
52,1,15999,cash
53,1,109992,cash
54,1,42460,cash
55,1,18915,cash
56,1,46560,cash
57,1,13580,cash
58,1,4000,cash
59,1,24000,cash
60,1,1526,cash
61,1,26000,cash
62,1,21400,cash
63,1,28500,cash
64,1,49500,cash
65,1,6000,cash
66,1,50400,cash
67,1,18000,cash
68,1,54000,cash
69,1,36000,cash
70,1,13024,cash
71,1,13024,cash
72,1,7568,cash
73,1,20585,cash
74,1,18938,cash
75,1,41190,cash
76,1,14750,cash
77,1,20185,cash
78,1,53139,cash
79,1,17713,cash
80,1,17713,cash
81,1,45210,cash
82,1,19500,cash
83,1,13000,cash
84,1,10000,cash
85,1,10000,cash
86,1,19198,cash
87,1,11172,cash
88,1,8519,cash
89,1,5487,cash
90,1,7316,cash
91,1,21948,cash
92,1,7680,cash
93,1,31680,cash
94,1,10120,cash
95,1,10120,cash
96,1,56440,cash
97,1,59330,cash
98,1,27285,cash
99,1,36800,cash
100,1,12500,cash
101,1,18370,cash
102,1,16000,cash
103,1,17650,cash
104,1,41580,cash
105,1,41580,cash
106,1,20790,cash
107,1,46000,cash
108,1,44000,cash
109,1,44080,cash
110,1,10000,cash
111,1,61355,cash
112,1,15015,cash
113,1,34000,cash
114,1,13600,cash
115,1,9724,cash
116,1,10340,cash
117,1,51975,cash
118,1,10285,cash
119,1,7348,cash
120,1,1265,cash
121,1,8239,cash
122,1,32100,cash
123,1,53500,cash
124,1,9625,cash
125,1,21400,cash
126,1,14300,cash
127,1,11968,cash
128,1,2992,cash
129,1,14300,cash
130,1,9284,cash
131,1,20790,cash
132,1,9000,cash
133,1,75735,cash
134,1,75735,cash
135,1,50490,cash
136,1,45540,cash
137,1,50655,cash
138,1,3410,cash
139,1,19580,cash
140,1,9790,cash
141,1,6820,cash
142,1,18040,cash
143,1,25410,cash
144,1,8470,cash
145,1,25410,cash
146,1,16940,cash
147,1,51810,cash
148,1,12430,cash
149,1,11275,cash
150,1,22550,cash
151,1,19800,cash
152,1,9680,cash
153,1,5335,cash
154,1,38400,cash
155,1,25600,cash
156,1,51450,cash
157,1,14700,cash
158,1,29400,cash
159,1,44100,cash
160,1,22200,cash
161,1,22200,cash
162,1,22200,cash
163,1,22200,cash
164,1,23700,cash
165,1,7900,cash
166,1,3950,cash
167,1,25064,cash
168,1,18967,cash
169,1,37934,cash
170,1,18967,cash
171,1,18967,cash
172,1,23640,cash
173,1,20892,cash
174,1,6964,cash
175,1,17410,cash
176,1,12870,cash
177,1,24000,cash
178,1,12000,cash
179,1,24000,cash
180,1,24000,cash
181,1,12000,cash
182,1,31500,cash
183,1,32000,cash
184,1,36000,cash
185,1,37500,cash
186,1,40000,cash
187,1,20000,cash
188,1,50440,cash
189,1,25705,cash
190,1,25220,cash
191,1,42000,cash
192,1,11600,cash
193,1,6305,cash
194,1,5820,cash
195,1,43650,cash
196,1,43152,cash
197,1,28642,cash
198,1,27400,cash
199,1,13700,cash
200,1,42400,cash
201,1,33550,cash
202,1,15000,cash
203,1,15000,cash
204,1,5000,cash
205,1,15000,cash
206,1,45864,cash
207,1,45864,cash
208,1,45864,cash
209,1,20680,cash
210,1,19580,cash
211,1,13200,cash
212,1,18500,cash
213,1,17000,cash
214,1,15500,cash
215,1,39770,cash
216,1,11000,cash
217,1,8500,cash
218,1,30070,cash
219,1,17000,cash
220,1,17500,cash
221,1,14000,cash
222,1,56000,cash
223,1,21500,cash
224,1,43000,cash
225,1,28800,cash
226,1,28800,cash
227,1,14400,cash
228,1,13411,cash
229,1,26822,cash
230,1,14256,cash
231,1,28512,cash
232,1,20240,cash
233,1,17000,cash
234,1,17000,cash
235,1,30690,cash
236,1,75366,cash
237,1,9660,cash
238,1,40752,cash
239,1,16776,cash
240,1,118860,cash
241,1,25992,cash
242,1,12060,cash
243,1,26118,cash
244,1,19800,cash
245,1,64630,cash
246,1,140000,cash
247,1,16500,cash
248,1,108200,cash
249,1,80435,cash
250,1,23760,cash
251,1,40755,cash
252,1,30566,cash
253,1,51099,cash
254,1,50556,cash
255,1,16918,cash
256,1,59000,cash
257,1,94676,cash
258,1,30450,cash
259,1,67293,cash
260,1,67293,cash
261,1,40500,cash
262,1,56295,cash
263,1,24780,cash
264,1,11190,cash
265,1,5595,cash
266,1,11900,cash
267,1,19599,cash
268,1,108900,cash
269,1,44825,cash
270,1,16000,cash
271,1,17160,cash
272,1,50000,cash
273,1,31416,cash
274,1,22850,cash
275,1,66640,cash
276,1,46000,cash
277,1,33200,cash
278,1,51150,cash
279,1,34100,cash
280,1,20957,cash
281,1,62076,cash
282,1,22031,cash
283,1,22031,cash
284,1,22031,cash
285,1,28351,cash
286,1,17000,cash
287,1,8414,cash
288,1,20460,cash
289,1,93720,cash
290,1,18800,cash
291,1,36000,cash
292,1,26000,cash
293,1,47600,cash
294,1,9400,cash
295,1,37500,cash
296,1,6250,cash
297,1,38000,cash
298,1,22500,cash
299,1,18000,cash
300,1,34013,cash
301,1,37499,cash
302,1,10714,cash
303,1,24585,cash
304,1,49170,cash
305,1,5208,cash
306,1,2604,cash
307,1,30680,cash
308,1,12272,cash
309,1,2883,cash
310,1,9204,cash
311,1,3354,cash
312,1,42032,cash
313,1,21428,cash
314,1,45924,cash
315,1,30618,cash
316,1,56691,cash
317,1,10120,cash
318,1,41706,cash
319,1,12416,cash
320,1,32081,cash
321,1,14250,cash
322,1,13875,cash
323,1,18750,cash
324,1,6334,cash
325,1,6332,cash
326,1,15830,cash
327,1,9501,cash
328,1,3167,cash
329,1,3167,cash
330,1,21796,cash
331,1,23997,cash
332,1,4400,cash
333,1,21450,cash
334,1,5952,cash
335,1,5752,cash
336,1,4200,cash
337,1,23800,cash
338,1,18500,cash
339,1,34782,cash
340,1,23172,cash
341,1,18192,cash
342,1,12372,cash
343,1,8400,cash
344,1,10500,cash
345,1,5500,cash
346,1,1500,cash
347,1,45000,cash
348,1,4050,cash
349,1,12000,cash
350,1,33320,cash
351,1,4410,cash
352,1,31654,cash
353,1,42483,cash
354,1,17640,cash
355,1,20900,cash
356,1,24360,cash
357,1,4872,cash
358,1,16940,cash
359,1,31497,cash
360,1,37996,cash
361,1,5313,cash
362,1,15600,cash
363,1,36400,cash
364,1,31240,cash
365,1,3200,cash
366,1,22400,cash
367,1,32000,cash
368,1,791,cash
369,1,4248,cash
370,1,107532,cash
371,1,2395,cash
372,1,30618,cash
373,1,50400,cash
374,1,90800,cash
375,1,90800,cash
376,1,90800,cash
377,1,119700,cash
378,1,79800,cash
379,1,79800,cash
380,1,32000,cash
381,1,27900,cash
382,1,27900,cash
383,1,27900,cash
384,1,215880,cash
385,1,71960,cash
386,1,4872,cash
387,1,4872,cash
388,1,1800,cash
389,1,9000,cash
390,1,9450,cash
391,1,13168,cash
392,1,12500,cash
